crop,sowing,harvest,dw_max,LAI_max,r_max,r_min,C_factor,CN_A_G,CN_A_B,CN_B_G,CN_B_B,CN_C_G,CN_C_B,CN_D_G,CN_D_B,R_transf_Cs,R_transf_Sr
Pšenice ozimá,2021-09-15,2021-08-01,8.7,5,90,25,0.12,60,63,72,74,80,82,84,85,0.15,1.1
Pšenice jarní,2021-03-20,2021-08-15,6.6,5,90,20,0.15,60,63,72,74,80,82,84,85,0.15,1.1
Žito ozimé,2021-09-15,2021-08-01,7.3,5.2,90,18,0.17,60,63,72,74,80,82,84,85,0.15,1.1
Tritikale,2021-09-15,2021-08-01,7.9,5.2,90,18,0.17,60,63,72,74,80,82,84,85,0.15,1.1
Ječmen jarní,2021-03-20,2021-08-01,6.8,5,90,20,0.15,60,63,72,74,80,82,84,85,0.15,1.1
Ječmen ozimý,2021-09-15,2021-07-15,8.2,5,90,20,0.17,60,63,72,74,80,82,84,85,0.15,1.1
Oves,2021-04-01,2021-08-01,7.0,4.8,90,21,0.1,60,63,72,74,80,82,84,85,0.15,1.1
Kukuřice na zrno,2021-04-20,2021-10-01,12.1,5,90,20,0.61,64,70,75,79,82,84,85,88,0.073,0.73
Kukuřice na siláž,2021-04-20,2021-08-15,12.8,5,90,68,0.72,64,70,75,79,82,84,85,88,0.073,0.73
Čirok,2021-04-20,2021-08-15,10.0,5,90,68,0.72,64,70,75,79,82,84,85,88,0.073,0.73
Brambory rané,2021-04-10,2021-07-01,10.0,5,90,40,0.6,64,70,75,79,82,84,85,88,0.056,0.16
Brambory pozdní,2021-04-20,2021-09-20,10.0,5,90,40,0.44,64,70,75,79,82,84,85,88,0.056,0.16
Luštěniny,2021-04-01,2021-08-01,4.6,5,90,20,0.05,60,63,72,74,80,82,84,85,0.04,1.4
Jeteloviny,2021-04-01,2021-07-15,10.0,5,90,70,0.01,55,64,69,75,78,83,83,85,0.04,1.4
Ostatní pícniny jednoleté,2021-04-01,2021-07-15,10.0,5,90,70,0.02,60,63,72,74,80,82,84,85,0.25,1.3
Ostatní pícniny víceleté,2021-04-01,2021-07-15,10.0,5,90,70,0.01,55,64,69,75,78,83,83,85,0.25,1.3
Řepka ozimá,2021-09-01,2021-07-15,5.9,5,90,20,0.22,60,63,72,74,80,82,84,85,0.31,0.88
Slunečnice,2021-04-20,2021-09-01,7.8,5,90,20,0.6,64,70,75,79,82,84,85,88,0.31,0.88
Mák,2021-03-20,2021-08-01,1.0,5,90,20,0.5,64,70,75,79,82,84,85,88,0.31,0.88
Ostatní olejniny,2021-04-01,2021-08-01,2.5,5,90,20,0.22,60,63,72,74,80,82,84,85,0.31,0.88
Trvalé travní porosty,2021-03-20,2021-08-01,10.0,5,90,70,0.005,30,30,58,58,71,71,78,78,0.063,0.91
Pastviny,1999-01-01,1999-01-01,0,0,0,0,0.005,30,30,58,58,71,71,78,78,0.063,0.91
Chmel,2021-03-20,2021-08-20,10.0,5,90,60,0.8,32,57,58,73,72,82,79,86,0.31,0.88
Zelenina,2021-04-01,2021-07-15,10.0,5,90,80,0.45,64,70,75,79,82,84,85,88,0.06,0.76
Sady,1999-01-01,1999-01-01,0,0,0,0,0.45,32,57,58,73,72,82,79,86,0,0
Lesy,1999-01-01,1999-01-01,0,0,0,0,0.001,30,45,55,66,70,77,77,83,0,0
Zástavba,1999-01-01,1999-01-01,0,0,0,0,0.8,80,80,80,80,80,80,80,80,0,0
Ostatní kultury,1999-01-01,1999-01-01,0,0,0,0,0.9,77,75,86,84,91,89,94,92,0,0
Ostatní plochy,1999-01-01,1999-01-01,0,0,0,0,0.9,77,75,86,84,91,89,94,92,0,0
